score	tokens	count	sequence
9.400879436282183	26	4	['int', 'f', '(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(', ')', ';']
9.287712379549449	25	4	['int', 'f', '(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(', ')']
9.287712379549449	25	4	['f', '(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(', ')', ';']
9.169925001442312	24	4	['int', 'f', '(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(']
9.169925001442312	24	4	['f', '(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(', ')']
9.169925001442312	24	4	['(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(', ')', ';']
9.047123912114026	23	4	['int', 'f', '(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3']
9.047123912114026	23	4	['f', '(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(']
9.047123912114026	23	4	['(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(', ')']
9.047123912114026	23	4	['int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(', ')', ';']
8.918863237274595	22	4	['int', 'f', '(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';']
8.918863237274595	22	4	['f', '(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3']
8.918863237274595	22	4	['(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(']
8.918863237274595	22	4	['int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(', ')']
8.918863237274595	22	4	['arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(', ')', ';']
8.784634845557521	21	4	['int', 'f', '(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')']
8.784634845557521	21	4	['f', '(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';']
8.784634845557521	21	4	['(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3']
8.784634845557521	21	4	['int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(']
8.784634845557521	21	4	['arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(', ')']
8.784634845557521	21	4	[',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(', ')', ';']
8.643856189774725	20	4	['int', 'f', '(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2']
8.643856189774725	20	4	['f', '(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')']
8.643856189774725	20	4	['(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';']
8.643856189774725	20	4	['int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3']
8.643856189774725	20	4	['arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(']
8.643856189774725	20	4	[',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(', ')']
8.643856189774725	20	4	['char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(', ')', ';']
8.49585502688717	19	4	['int', 'f', '(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',']
8.49585502688717	19	4	['f', '(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2']
8.49585502688717	19	4	['(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')']
8.49585502688717	19	4	['int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';']
8.49585502688717	19	4	['arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3']
8.49585502688717	19	4	[',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(']
8.49585502688717	19	4	['char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(', ')']
8.49585502688717	19	4	['arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',', 'arg2', ')', ';', 'a3', '(', ')', ';']
8.339850002884624	18	4	['int', 'f', '(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1']
8.339850002884624	18	4	['f', '(', 'int', 'arg1', ',', 'char', 'arg2', ')', '{', 'a1', '(', 'arg1', ')', ';', 'a2', '(', 'arg1', ',']
