score	tokens	count	sequence
22.801758872564367	16	52	['for', '(', 'i', '=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';', 'i', '++', ')', '{']
22.270994325638707	15	52	['for', '(', 'i', '=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';', 'i', '++', ')']
22.270994325638707	15	52	['(', 'i', '=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';', 'i', '++', ')', '{']
21.703597218757146	14	52	['for', '(', 'i', '=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';', 'i', '++']
21.703597218757146	14	52	['(', 'i', '=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';', 'i', '++', ')']
21.703597218757146	14	52	['i', '=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';', 'i', '++', ')', '{']
21.094133543878307	13	52	['for', '(', 'i', '=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';', 'i']
21.094133543878307	13	52	['(', 'i', '=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';', 'i', '++']
21.094133543878307	13	52	['i', '=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';', 'i', '++', ')']
21.094133543878307	13	52	['=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';', 'i', '++', ')', '{']
20.43586262715729	12	52	['for', '(', 'i', '=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';']
20.43586262715729	12	52	['(', 'i', '=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';', 'i']
20.43586262715729	12	52	['i', '=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';', 'i', '++']
20.43586262715729	12	52	['=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';', 'i', '++', ')']
20.43586262715729	12	52	['0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';', 'i', '++', ')', '{']
19.720281401073176	11	52	['for', '(', 'i', '=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr']
19.720281401073176	11	52	['(', 'i', '=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';']
19.720281401073176	11	52	['i', '=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';', 'i']
19.720281401073176	11	52	['=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';', 'i', '++']
19.720281401073176	11	52	['0', ';', 'i', '<', 'check', '->', 'all_attrs_nr', ';', 'i', '++', ')']
19.720281401073176	11	52	[';', 'i', '<', 'check', '->', 'all_attrs_nr', ';', 'i', '++', ')', '{']
18.936450852904688	10	52	['for', '(', 'i', '=', '0', ';', 'i', '<', 'check', '->']
18.936450852904688	10	52	['(', 'i', '=', '0', ';', 'i', '<', 'check', '->', 'all_attrs_nr']
