score	tokens	count	sequence
22.165317204533526	10	102	['for', '(', 'i', '=', '0', ';', 'i', '<', 'check', '->']
21.195705193275284	9	103	['(', 'i', '=', '0', ';', 'i', '<', 'check', '->']
21.151087911772713	9	102	['for', '(', 'i', '=', '0', ';', 'i', '<', 'check']
20.611094158750213	8	117	['for', '(', 'i', '=', '0', ';', 'i', '<']
20.059501581549654	8	103	['(', 'i', '=', '0', ';', 'i', '<', 'check']
20.059501581549654	8	103	['i', '=', '0', ';', 'i', '<', 'check', '->']
19.322021841391525	7	118	['for', '(', 'i', '=', '0', ';', 'i']
19.322021841391525	7	118	['(', 'i', '=', '0', ';', 'i', '<']
18.771380166328573	7	103	['i', '=', '0', ';', 'i', '<', 'check']
18.771380166328573	7	103	['=', '0', ';', 'i', '<', 'check', '->']
17.822845367457152	6	119	['(', 'i', '=', '0', ';', 'i']
17.79137418844947	6	118	['for', '(', 'i', '=', '0', ';']
17.79137418844947	6	118	['i', '=', '0', ';', 'i', '<']
17.28435312382086	6	103	['=', '0', ';', 'i', '<', 'check']
17.28435312382086	6	103	['0', ';', 'i', '<', 'check', '->']
16.00927107375316	5	119	['(', 'i', '=', '0', ';']
16.00927107375316	5	119	['i', '=', '0', ';', 'i']
15.981002263394485	5	118	['for', '(', 'i', '=', '0']
15.981002263394485	5	118	['=', '0', ';', 'i', '<']
15.525573430545874	5	103	['0', ';', 'i', '<', 'check']
15.525573430545874	5	103	[';', 'i', '<', 'check', '->']
13.861474675125773	4	122	['for', '(', 'i', '=']
13.813781191217037	4	120	['i', '=', '0', ';']
13.789635526615887	4	119	['(', 'i', '=', '0']
13.789635526615887	4	119	['=', '0', ';', 'i']
13.765286098723683	4	118	['0', ';', 'i', '<']
13.373001054366437	4	103	[';', 'i', '<', 'check']
13.373001054366437	4	103	['i', '<', 'check', '->']
11.442111391319155	3	149	['=', '0', ';']
11.04050687930215	3	125	[';', 'i', '<']
11.003625151675381	3	123	['(', 'i', '=']
10.98495878238516	3	122	['for', '(', 'i']
10.947162590623114	3	120	['i', '=', '0']
10.928027604149207	3	119	['0', ';', 'i']
10.663501628317505	3	106	['<', 'check', '->']
10.597852596637642	3	103	['i', '<', 'check']
8.60733031374961	2	390	[')', '{']
8.303780748177102	2	316	['check', '->']
7.965784284662087	2	250	[';', 'i']
7.467605550082998	2	177	['0', ';']
7.219168520462161	2	149	['=', '0']
7.129283016944966	2	140	['for', '(']
7.044394119358453	2	132	['(', 'i']
7.0	2	128	['i', '=']
6.965784284662087	2	125	['i', '<']
6.727920454563199	2	106	['<', 'check']
