score	tokens	count	sequence
11.73011637886559	13	9	['if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')', ';']
11.364062260269145	12	9	['if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')']
11.364062260269145	12	9	['(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')', ';']
10.966138778698415	11	9	['if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search']
10.966138778698415	11	9	['(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')']
10.966138778698415	11	9	['first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')', ';']
10.530262920977078	10	9	['if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',']
10.530262920977078	10	9	['(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search']
10.530262920977078	10	9	['first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')']
10.530262920977078	10	9	['>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')', ';']
10.048424514769042	9	9	['if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"']
10.048424514769042	9	9	['(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',']
10.048424514769042	9	9	['first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search']
10.048424514769042	9	9	['>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')']
10.048424514769042	9	9	['last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')', ';']
9.509775004326936	8	9	['if', '(', 'first', '>', 'last', ')', 'printf', '(']
9.509775004326936	8	9	['(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"']
9.509775004326936	8	9	['first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',']
9.509775004326936	8	9	['>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search']
9.509775004326936	8	9	['last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')']
9.509775004326936	8	9	[')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')', ';']
8.899104555352533	7	9	['if', '(', 'first', '>', 'last', ')', 'printf']
8.899104555352533	7	9	['(', 'first', '>', 'last', ')', 'printf', '(']
8.899104555352533	7	9	['first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"']
8.899104555352533	7	9	['>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',']
8.899104555352533	7	9	['last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search']
8.899104555352533	7	9	[')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')']
8.899104555352533	7	9	['printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')', ';']
8.194137258826833	6	9	['if', '(', 'first', '>', 'last', ')']
8.194137258826833	6	9	['(', 'first', '>', 'last', ')', 'printf']
8.194137258826833	6	9	['first', '>', 'last', ')', 'printf', '(']
8.194137258826833	6	9	['>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"']
8.194137258826833	6	9	['last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',']
8.194137258826833	6	9	[')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search']
8.194137258826833	6	9	['printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')']
8.194137258826833	6	9	['(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')', ';']
7.360337919534767	5	9	['if', '(', 'first', '>', 'last']
7.360337919534767	5	9	['(', 'first', '>', 'last', ')']
7.360337919534767	5	9	['first', '>', 'last', ')', 'printf']
7.360337919534767	5	9	['>', 'last', ')', 'printf', '(']
7.360337919534767	5	9	['last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"']
7.360337919534767	5	9	[')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',']
7.360337919534767	5	9	['printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search']
7.360337919534767	5	9	['(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')']
7.360337919534767	5	9	['"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')', ';']
6.339850002884624	4	9	['if', '(', 'first', '>']
6.339850002884624	4	9	['(', 'first', '>', 'last']
6.339850002884624	4	9	['first', '>', 'last', ')']
6.339850002884624	4	9	['>', 'last', ')', 'printf']
6.339850002884624	4	9	['last', ')', 'printf', '(']
6.339850002884624	4	9	[')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"']
6.339850002884624	4	9	['printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',']
6.339850002884624	4	9	['(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search']
6.339850002884624	4	9	['"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')']
6.339850002884624	4	9	[',', 'search', ')', ';']
5.265131460488539	3	10	['search', ')', ';']
5.169925001442312	36	2	['int', 'main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n', ')', ';']
5.129283016944966	35	2	['int', 'main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n', ')']
5.129283016944966	35	2	['main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n', ')', ';']
5.087462841250339	34	2	['int', 'main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n']
5.087462841250339	34	2	['main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n', ')']
5.087462841250339	34	2	['(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n', ')', ';']
5.044394119358453	33	2	['int', 'main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&']
5.044394119358453	33	2	['main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n']
5.044394119358453	33	2	['(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n', ')']
5.044394119358453	33	2	[')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n', ')', ';']
5.024212257384521	3	9	['if', '(', 'first']
5.024212257384521	3	9	['(', 'first', '>']
5.024212257384521	3	9	['first', '>', 'last']
5.024212257384521	3	9	['>', 'last', ')']
5.024212257384521	3	9	['last', ')', 'printf']
5.024212257384521	3	9	[')', 'printf', '(']
5.024212257384521	3	9	['printf', '(', '"Not found! %d isn\'t present in the list.\\n"']
5.024212257384521	3	9	['(', '"Not found! %d isn\'t present in the list.\\n"', ',']
5.024212257384521	3	9	['"Not found! %d isn\'t present in the list.\\n"', ',', 'search']
5.024212257384521	3	9	[',', 'search', ')']
5.0	32	2	['int', 'main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',']
5.0	32	2	['main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&']
5.0	32	2	['(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n']
5.0	32	2	[')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n', ')']
5.0	32	2	['{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n', ')', ';']
4.954196310386875	31	2	['int', 'main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"']
4.954196310386875	31	2	['main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',']
4.954196310386875	31	2	['(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&']
4.954196310386875	31	2	[')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n']
4.954196310386875	31	2	['{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n', ')']
4.954196310386875	31	2	['int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n', ')', ';']
4.906890595608519	30	2	['int', 'main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(']
4.906890595608519	30	2	['main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"']
4.906890595608519	30	2	['(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',']
4.906890595608519	30	2	[')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&']
4.906890595608519	30	2	['{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n']
4.906890595608519	30	2	['int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n', ')']
4.906890595608519	30	2	['c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n', ')', ';']
4.857980995127572	29	2	['int', 'main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf']
4.857980995127572	29	2	['main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(']
4.857980995127572	29	2	['(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"']
4.857980995127572	29	2	[')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',']
4.857980995127572	29	2	['{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&']
4.857980995127572	29	2	['int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n']
4.857980995127572	29	2	['c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n', ')']
4.857980995127572	29	2	[',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n', ')', ';']
4.807354922057604	28	2	['int', 'main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';']
4.807354922057604	28	2	['main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf']
4.807354922057604	28	2	['(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(']
4.807354922057604	28	2	[')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"']
4.807354922057604	28	2	['{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',']
4.807354922057604	28	2	['int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&']
4.807354922057604	28	2	['c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n']
4.807354922057604	28	2	[',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n', ')']
4.807354922057604	28	2	['first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n', ')', ';']
4.754887502163468	27	2	['int', 'main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')']
4.754887502163468	27	2	['main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';']
4.754887502163468	27	2	['(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf']
4.754887502163468	27	2	[')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(']
4.754887502163468	27	2	['{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"']
4.754887502163468	27	2	['int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',']
4.754887502163468	27	2	['c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&']
