score	tokens	count	sequence
7.400879436282184	13	4	['if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')', ';']
7.169925001442312	12	4	['if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')']
7.169925001442312	12	4	['(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')', ';']
6.918863237274595	11	4	['if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search']
6.918863237274595	11	4	['(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')']
6.918863237274595	11	4	['first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')', ';']
6.643856189774724	10	4	['if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',']
6.643856189774724	10	4	['(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search']
6.643856189774724	10	4	['first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')']
6.643856189774724	10	4	['>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')', ';']
6.339850002884624	9	4	['if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"']
6.339850002884624	9	4	['(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',']
6.339850002884624	9	4	['first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search']
6.339850002884624	9	4	['>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')']
6.339850002884624	9	4	['last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')', ';']
6.1922750884596445	15	3	[')', ';', 'if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')', ';']
6.034514778397423	14	3	[')', ';', 'if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')']
6.034514778397423	14	3	[';', 'if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')', ';']
6.0	8	4	['if', '(', 'first', '>', 'last', ')', 'printf', '(']
6.0	8	4	['(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"']
6.0	8	4	['first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',']
6.0	8	4	['>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search']
6.0	8	4	['last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')']
6.0	8	4	[')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')', ';']
5.865058189432795	13	3	[')', ';', 'if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search']
5.865058189432795	13	3	[';', 'if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')']
5.682031130134573	12	3	[')', ';', 'if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',']
5.682031130134573	12	3	[';', 'if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search']
5.614709844115208	7	4	['if', '(', 'first', '>', 'last', ')', 'printf']
5.614709844115208	7	4	['(', 'first', '>', 'last', ')', 'printf', '(']
5.614709844115208	7	4	['first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"']
5.614709844115208	7	4	['>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',']
5.614709844115208	7	4	['last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search']
5.614709844115208	7	4	[')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')']
5.614709844115208	7	4	['printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',', 'search', ')', ';']
5.4830693893492075	11	3	[')', ';', 'if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"']
5.4830693893492075	11	3	[';', 'if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"', ',']
5.265131460488539	10	3	[')', ';', 'if', '(', 'first', '>', 'last', ')', 'printf', '(']
5.265131460488539	10	3	[';', 'if', '(', 'first', '>', 'last', ')', 'printf', '(', '"Not found! %d isn\'t present in the list.\\n"']
5.169925001442312	36	2	['int', 'main', '(', ')', '{', 'int', 'c', ',', 'first', ',', 'last', ',', 'middle', ',', 'n', ',', 'search', ',', 'array', '[', '100', ']', ';', 'printf', '(', '"Enter number of elements\\n"', ')', ';', 'scanf', '(', '"%d"', ',', '&', 'n', ')', ';']
5.169925001442312	6	4	['if', '(', 'first', '>', 'last', ')']
5.169925001442312	6	4	['(', 'first', '>', 'last', ')', 'printf']
5.169925001442312	6	4	['first', '>', 'last', ')', 'printf', '(']
